BLEU = 16.23, 64.0/32.3/19.4/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.06, 62.9/30.8/17.6/12.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 14.39, 60.9/29.3/16.2/12.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.86, 61.9/31.0/18.8/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.56, 63.1/32.3/20.1/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.10, 62.1/29.8/17.3/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 14.43, 60.7/29.5/16.6/11.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.55, 62.6/31.0/18.5/13.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.57, 62.9/31.3/18.6/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.74, 63.6/32.4/18.5/13.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.26, 66.1/35.4/22.2/17.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.22, 63.1/32.6/19.3/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.30, 61.9/30.9/18.1/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 14.70, 62.7/31.2/17.3/11.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.26, 64.7/31.7/18.1/11.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.82, 64.7/34.6/20.5/14.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.33, 63.7/32.8/18.1/11.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.35, 62.2/32.5/19.5/14.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.00, 60.2/30.1/17.6/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.25, 63.5/33.5/19.2/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.42, 64.0/33.3/19.3/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.22, 62.7/32.0/18.3/11.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.63, 64.6/33.8/20.2/14.0 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.46, 64.5/32.8/19.6/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.61, 64.5/33.4/19.9/14.4 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.58, 65.0/34.6/22.0/15.7 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 15.53, 63.3/31.7/18.3/12.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.96, 62.6/34.2/20.6/15.2 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.29, 63.2/33.3/19.6/13.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 18.09, 63.8/35.7/22.6/16.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 17.85, 64.6/34.7/21.8/16.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.76, 64.9/32.6/20.1/15.1 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
BLEU = 16.94, 64.8/33.5/20.7/14.9 (BP=0.592, ratio=0.656, hyp_len=1576, ref_len=2401)
